ID_zamowienia	Data	ID_Produktu	ID_klienta	Liczba_sztuk
74/2012	2012-07-08	170	AN941	1
75/2012	2012-07-08	308	UW222	1
76/2012	2012-07-08	40	KB248	1
77/2012	2012-07-09	246	ML454	1
78/2012	2012-07-09	90	JR274	1
79/2012	2012-07-10	21	EK855	1
80/2012	2012-07-10	423	TR502	1
81/2012	2012-07-10	102	PW634	1
82/2012	2012-07-10	139	BM408	1
83/2012	2012-07-11	220	KZ654	1
84/2012	2012-07-12	533	FW613	1
85/2012	2012-07-12	280	SO683	1
86/2012	2012-07-12	488	KJ646	1
87/2012	2012-07-13	287	BS596	1
88/2012	2012-07-14	159	MS545	1
89/2012	2012-07-15	83	DJ666	1
90/2012	2012-07-15	290	DG587	1
91/2012	2012-07-15	66	JK619	1
92/2012	2012-07-15	381	KZ596	1
93/2012	2012-07-15	132	MB630	1
94/2012	2012-07-16	509	MS560	1
95/2012	2012-07-17	289	EW677	1
96/2012	2012-07-18	244	AS370	1
97/2012	2012-07-19	380	JR274	1
98/2012	2012-07-20	233	KK813	1
99/2012	2012-07-21	191	WW293	1
100/2012	2012-07-22	388	PP802	1
101/2012	2012-07-22	369	JK253	1
102/2012	2012-07-22	508	MK151	1
103/2012	2012-07-22	532	AS921	1
104/2012	2012-07-22	107	DP689	1
105/2012	2012-07-23	163	EM686	1
106/2012	2012-07-24	267	IO322	1
107/2012	2012-07-25	92	OP885	1
108/2012	2012-07-26	38	AZ877	1
109/2012	2012-07-26	206	MK912	1
110/2012	2012-07-27	76	AK651	1
111/2012	2012-07-28	293	JS823	1
112/2012	2012-07-28	47	PG448	1
113/2012	2012-07-28	48	NN413	1
114/2012	2012-07-29	304	JK901	1
115/2012	2012-07-30	128	MW455	1
116/2012	2012-07-30	74	JO931	1
117/2012	2012-07-30	387	AK935	1
118/2012	2012-07-30	95	HS454	1
119/2012	2012-07-30	412	AK689	1
120/2012	2012-07-30	518	JM370	1
121/2012	2012-07-30	379	HP859	1
122/2012	2012-07-31	104	KK736	1
123/2012	2012-08-01	65	HL925	1
124/2012	2012-08-02	167	MB909	1
125/2012	2012-08-03	530	MS545	1
126/2012	2012-08-04	71	JO630	1
127/2012	2012-08-05	41	IK957	1
128/2012	2012-08-05	455	JS823	1
129/2012	2012-08-07	124	RW293	1
130/2012	2012-08-08	125	JB611	1
131/2012	2012-08-09	421	AK436	1
132/2012	2012-08-10	460	AW703	1
133/2012	2012-08-11	236	AZ838	1
134/2012	2012-08-11	91	HT909	1
135/2012	2012-08-11	308	JJ613	1
136/2012	2012-08-14	266	JK619	1
137/2012	2012-08-15	434	JB243	1
138/2012	2012-08-16	494	FG613	1
139/2012	2012-08-17	267	EK805	1
140/2012	2012-08-17	180	KZ630	1
141/2012	2012-08-17	230	KJ646	1
142/2012	2012-08-18	31	MK912	1
143/2012	2012-08-19	55	BS343	1
144/2012	2012-08-20	159	JM370	1
145/2012	2012-08-23	510	WW293	1
146/2012	2012-08-24	172	PM997	1
147/2012	2012-08-25	108	JK253	1
148/2012	2012-08-26	64	JS561	1
149/2012	2012-08-27	8	HB689	1
150/2012	2012-08-28	13	WL869	1
151/2012	2012-08-29	339	ES980	1
152/2012	2012-08-29	501	PS069	1
153/2012	2012-08-31	457	TR502	1
154/2012	2012-09-01	90	AF446	1
155/2012	2012-09-01	439	AS512	1
156/2012	2012-09-01	185	CG130	1
157/2012	2012-09-01	370	PS145	1
158/2012	2012-09-01	432	JK897	1
159/2012	2012-09-01	264	AF560	1
160/2012	2012-09-01	371	KG154	1
161/2012	2012-09-01	368	MB603	1
162/2012	2012-09-04	215	MO607	1
163/2012	2012-09-04	359	ML013	1
164/2012	2012-09-04	99	BK241	1
165/2012	2012-09-05	298	NN413	1
166/2012	2012-09-06	81	PP548	1
167/2012	2012-09-07	89	BS802	1
168/2012	2012-09-08	197	KW801	1
169/2012	2012-09-09	195	FS911	1
170/2012	2012-09-10	233	MK151	1
171/2012	2012-09-11	199	EL635	1
172/2012	2012-09-12	533	JO931	1
173/2012	2012-09-13	342	MO607	1
174/2012	2012-09-14	444	MS545	1
175/2012	2012-09-14	207	AK689	1
176/2012	2012-09-14	397	CG130	1
177/2012	2012-09-14	263	AK651	2
178/2012	2012-09-14	288	AB721	1
179/2012	2012-09-14	411	KG154	3
180/2012	2012-09-14	473	PG010	1
181/2012	2012-09-14	516	WR305	1
182/2012	2012-09-17	325	FW613	1
183/2012	2012-09-18	50	WP281	1
184/2012	2012-09-19	143	ML454	1
185/2012	2012-09-19	423	LL879	1
186/2012	2012-09-19	480	BS802	1
187/2012	2012-09-19	441	KW596	1
188/2012	2012-09-19	364	BB759	1
189/2012	2012-09-20	417	HK463	1
190/2012	2012-09-21	507	PP548	1
191/2012	2012-09-22	23	ZK088	1
192/2012	2012-09-23	475	EM294	1
193/2012	2012-09-23	483	AW703	1
194/2012	2012-09-23	79	TB293	1
195/2012	2012-09-23	207	FS911	1
196/2012	2012-09-23	223	MB909	1
197/2012	2012-09-23	151	AF560	1
198/2012	2012-09-23	140	AN941	1
199/2012	2012-09-23	83	HB944	1
200/2012	2012-09-23	82	LL084	1
201/2012	2012-09-23	526	JN737	1
202/2012	2012-09-23	296	KH743	1
203/2012	2012-09-23	4	DK104	1
204/2012	2012-09-24	149	HK046	1
205/2012	2012-09-25	120	WW293	1
206/2012	2012-09-25	38	JK086	1
207/2012	2012-09-26	85	PS069	1
208/2012	2012-09-27	451	FB859	1
209/2012	2012-09-28	331	AS370	1
210/2012	2012-09-29	376	JK897	1
211/2012	2012-09-29	287	JW868	1
212/2012	2012-09-29	429	EK805	1
213/2012	2012-09-29	64	EL635	1
214/2012	2012-09-29	261	DM646	1
215/2012	2012-09-29	81	JZ669	1
216/2012	2012-09-30	95	WW713	1
217/2012	2012-10-01	504	PW634	1
218/2012	2012-10-01	334	EK411	1
219/2012	2012-10-02	348	HL980	2
220/2012	2012-10-02	387	JM370	1
221/2012	2012-10-02	403	SO683	1
222/2012	2012-10-02	494	WL202	1
223/2012	2012-10-02	184	MM926	1
224/2012	2012-10-03	390	RZ166	2
225/2012	2012-10-04	382	PM337	2
226/2012	2012-10-04	92	KZ630	1
227/2012	2012-10-04	337	KB202	1
228/2012	2012-10-04	200	PG448	1
229/2012	2012-10-04	3	UC613	1
230/2012	2012-10-04	523	WL869	1
231/2012	2012-10-04	61	TL518	1
232/2012	2012-10-04	301	AZ370	1
233/2012	2012-10-04	280	IB428	1
234/2012	2012-10-04	113	WW133	1
235/2012	2012-10-04	533	EW677	1
236/2012	2012-10-04	346	JZ427	1
237/2012	2012-10-05	379	JP555	1
238/2012	2012-10-06	319	JS561	1
239/2012	2012-10-07	124	ES980	1
240/2012	2012-10-07	344	AS921	1
241/2012	2012-10-07	424	FG613	1
242/2012	2012-10-07	68	TW581	1
243/2012	2012-10-07	420	AK485	1
244/2012	2012-10-07	513	KB248	1
245/2012	2012-10-08	487	PP802	1
246/2012	2012-10-09	250	BL202	1
247/2012	2012-10-09	89	TR502	1
248/2012	2012-10-09	163	TC563	1
249/2012	2012-10-10	371	KK399	1
250/2012	2012-10-10	252	TG008	1
251/2012	2012-10-11	29	HL925	1
252/2012	2012-10-12	461	MP056	1
253/2012	2012-10-13	95	LW238	1
254/2012	2012-10-14	8	AB802	1
255/2012	2012-10-15	112	MK151	1
256/2012	2012-10-15	287	JF461	1
257/2012	2012-10-15	406	KT061	1
258/2012	2012-10-16	457	PD759	1
259/2012	2012-10-17	27	MC265	1
260/2012	2012-10-18	183	WM980	1
261/2012	2012-10-19	114	MJ980	1
262/2012	2012-10-19	320	AK436	1
263/2012	2012-10-19	115	BM205	1
264/2012	2012-10-19	453	MS917	1
265/2012	2012-10-19	121	NB013	1
266/2012	2012-10-19	311	DP689	1
267/2012	2012-10-20	223	CL6	1
268/2012	2012-10-20	379	AF446	1
269/2012	2012-10-20	164	EK143	1
270/2012	2012-10-20	461	MW741	1
271/2012	2012-10-21	148	HP518	1
272/2012	2012-10-21	449	MW455	1
273/2012	2012-10-21	447	MS901	1
274/2012	2012-10-21	416	JB243	1
275/2012	2012-10-21	298	JO931	1
276/2012	2012-10-22	167	AB673	1
277/2012	2012-10-23	478	HB689	1
278/2012	2012-10-24	283	AG136	1
279/2012	2012-10-25	422	ED794	1
280/2012	2012-10-26	459	BH859	1
281/2012	2012-10-26	450	GL485	1
282/2012	2012-10-26	478	AB514	1
283/2012	2012-10-26	91	EB376	1
284/2012	2012-10-26	325	AB683	1
285/2012	2012-10-26	15	BW305	1
286/2012	2012-10-26	49	AS512	1
287/2012	2012-10-27	244	MB485	1
288/2012	2012-10-27	30	KZ596	1
289/2012	2012-10-28	388	BK241	1
290/2012	2012-10-28	84	UW222	1
291/2012	2012-10-28	200	HL305	1
292/2012	2012-10-29	192	EK855	1
293/2012	2012-10-30	131	BM408	1
294/2012	2012-10-31	390	JK619	1
295/2012	2012-10-31	302	AB679	1
296/2012	2012-11-01	240	JO585	1
297/2012	2012-11-01	26	SS283	1
298/2012	2012-11-01	293	AK935	2
299/2012	2012-11-01	88	ML013	1
300/2012	2012-11-01	229	RW013	1
301/2012	2012-11-02	84	MD631	1
302/2012	2012-11-03	283	AB877	1
303/2012	2012-11-04	231	KK736	1
304/2012	2012-11-05	398	JS823	1
305/2012	2012-11-05	46	AZ025	1
306/2012	2012-11-05	183	JJ331	1
307/2012	2012-11-05	15	AF446	1
308/2012	2012-11-06	72	PS145	1
309/2012	2012-11-07	410	IO322	1
310/2012	2012-11-07	159	EM686	1
311/2012	2012-11-07	341	TL518	1
312/2012	2012-11-08	292	AN941	1
313/2012	2012-11-08	75	ZK088	1
314/2012	2012-11-08	195	MK384	1
315/2012	2012-11-08	514	EM294	1
316/2012	2012-11-09	496	BO959	1
317/2012	2012-11-10	465	AB721	1
318/2012	2012-11-11	372	AB802	1
319/2012	2012-11-11	204	DP689	1
320/2012	2012-11-11	372	JF461	1
321/2012	2012-11-11	368	HP859	1
322/2012	2012-11-12	488	GL485	1
323/2012	2012-11-12	129	TO616	1
324/2012	2012-11-15	90	BW305	1
325/2012	2012-11-16	305	JB611	1
326/2012	2012-11-17	239	MB630	1
327/2012	2012-11-19	374	KG154	1
328/2012	2012-11-20	127	JR274	1
329/2012	2012-11-21	220	AZ838	1
330/2012	2012-11-21	149	WM980	1
331/2012	2012-11-21	92	KZ630	2
332/2012	2012-11-21	129	LL879	1
333/2012	2012-11-22	318	FW613	1
334/2012	2012-11-22	100	KW670	1
335/2012	2012-11-22	331	AS370	1
336/2012	2012-11-23	254	TC563	1
337/2012	2012-11-24	394	KB202	1
338/2012	2012-11-25	332	PG010	1
339/2012	2012-11-27	516	AS921	1
340/2012	2012-11-27	66	KB248	1
341/2012	2012-11-28	474	RW293	1
342/2012	2012-11-28	186	SS283	1
343/2012	2012-11-30	242	MS901	1
344/2012	2012-12-01	243	KW596	1
345/2012	2012-12-01	8	PM337	1
346/2012	2012-12-01	331	HT909	1
347/2012	2012-12-02	35	NB013	1
348/2012	2012-12-03	303	TG008	1
349/2012	2012-12-04	88	AK530	1
350/2012	2012-12-05	241	PS069	1
351/2012	2012-12-06	340	WL869	1
352/2012	2012-12-07	501	AB673	1
353/2012	2012-12-08	259	AS512	1
354/2012	2012-12-08	202	CL6	1
355/2012	2012-12-10	447	JJ420	1
356/2012	2012-12-10	91	WW133	1
357/2012	2012-12-11	148	HK463	1
358/2012	2012-12-12	117	JB645	1
359/2012	2012-12-13	252	FG613	1
360/2012	2012-12-13	36	JK901	1
361/2012	2012-12-13	263	AF560	1
362/2012	2012-12-13	71	KW801	1
363/2012	2012-12-13	70	SW504	1
364/2012	2012-12-13	313	BB759	1
365/2012	2012-12-14	210	MB603	1
366/2012	2012-12-14	95	MS545	1
367/2012	2012-12-16	468	AG136	1
368/2012	2012-12-16	200	AZ370	1
369/2012	2012-12-16	19	KK399	1
370/2012	2012-12-16	230	MM926	1
371/2012	2012-12-16	56	MB909	1
372/2012	2012-12-17	395	HL980	1
373/2012	2012-12-17	305	HL925	1
374/2012	2012-12-19	260	EB376	1
375/2012	2012-12-20	468	ED794	1
376/2012	2012-12-21	309	AK935	1
377/2012	2012-12-21	316	EK411	1
378/2012	2012-12-21	271	AB679	1
379/2012	2012-12-21	390	JZ669	2
380/2012	2012-12-21	518	TW624	1
381/2012	2012-12-21	140	PG448	1
382/2012	2012-12-21	457	BS343	1
383/2012	2012-12-21	223	ES980	1
384/2012	2012-12-22	20	BM408	1
385/2012	2012-12-23	204	BB193	1
386/2012	2012-12-23	401	UC613	1
387/2012	2012-12-23	432	WR305	1
388/2012	2012-12-23	282	MP056	1
389/2012	2012-12-23	375	UW222	1
390/2012	2012-12-23	220	HS605	1
391/2012	2012-12-23	35	JK897	1
392/2012	2012-12-23	225	KH743	1
393/2012	2012-12-23	440	JS823	1
394/2012	2012-12-27	213	HP518	1
395/2012	2012-12-27	161	JM370	1
396/2012	2012-12-27	180	OP885	1
397/2012	2012-12-27	343	BS802	1
398/2012	2012-12-28	149	DM646	1
399/2012	2012-12-29	74	WW713	1
400/2012	2012-12-31	106	MD631	1
1/2013	2013-01-03	236	PM997	1
2/2013	2013-01-03	324	MW741	1
3/2013	2013-01-03	111	SS673	1
4/2013	2013-01-04	530	MW455	1
5/2013	2013-01-05	268	MJ980	1
6/2013	2013-01-05	313	AK436	1
7/2013	2013-01-05	38	BP518	1
8/2013	2013-01-05	262	EW677	1
9/2013	2013-01-05	516	BL202	1
10/2013	2013-01-05	412	JO585	1
11/2013	2013-01-05	439	BK241	1
12/2013	2013-01-05	417	AN852	1
13/2013	2013-01-06	481	KJ646	1
14/2013	2013-01-07	477	JO630	1
15/2013	2013-01-08	503	KK736	1
16/2013	2013-01-09	185	AB877	1
17/2013	2013-01-11	255	JK253	1
18/2013	2013-01-11	8	WL202	1
19/2013	2013-01-11	157	JK619	1
20/2013	2013-01-15	493	JK086	1
21/2013	2013-01-16	393	EK805	1
22/2013	2013-01-17	195	ML454	1
23/2013	2013-01-17	5	PP802	1
24/2013	2013-01-19	72	JB243	1
25/2013	2013-01-20	266	JW868	1
26/2013	2013-01-21	250	AL097	1
27/2013	2013-01-21	191	EK855	1
28/2013	2013-01-23	343	AB683	1
29/2013	2013-01-24	387	BM497	1
30/2013	2013-01-25	66	JP555	1
31/2013	2013-01-26	135	AW703	1
32/2013	2013-01-26	471	CG130	1
33/2013	2013-01-26	82	KP135	1
34/2013	2013-01-27	116	JN737	1
35/2013	2013-01-28	449	TW581	1
36/2013	2013-01-31	105	FS911	1
37/2013	2013-01-31	292	IB428	1
38/2013	2013-01-31	420	GL783	1
39/2013	2013-02-01	254	RW013	1
40/2013	2013-02-04	317	SO683	1
41/2013	2013-02-04	373	KP751	2
42/2013	2013-02-04	43	PD759	1
43/2013	2013-02-04	334	JS561	1
44/2013	2013-02-08	272	HS454	1
45/2013	2013-02-09	179	AZ877	1
46/2013	2013-02-10	163	MO607	1
47/2013	2013-02-11	169	MK651	1
48/2013	2013-02-12	238	RW437	1
49/2013	2013-02-13	188	LW238	1
50/2013	2013-02-14	148	FB859	1
51/2013	2013-02-15	248	IK957	1
52/2013	2013-02-15	90	JJ331	1
53/2013	2013-02-15	397	MC265	1
54/2013	2013-02-16	116	HL305	1
55/2013	2013-02-17	93	MK151	1
56/2013	2013-02-18	437	PW634	1
57/2013	2013-02-19	502	JZ427	1
58/2013	2013-02-20	18	MK912	1
59/2013	2013-02-21	425	DG587	1
60/2013	2013-02-22	357	MB485	1
61/2013	2013-02-25	170	KT061	1
62/2013	2013-02-26	530	KZ654	1
63/2013	2013-02-27	179	PP548	1
64/2013	2013-02-28	138	TB293	1
65/2013	2013-02-28	118	WW293	1
66/2013	2013-02-28	130	BH859	1
67/2013	2013-02-28	507	IM433	2
68/2013	2013-03-01	283	RZ166	1
69/2013	2013-03-02	51	KK743	1
70/2013	2013-03-02	370	KK813	1
71/2013	2013-03-02	223	JH957	2
72/2013	2013-03-02	397	AK689	1
73/2013	2013-03-02	261	HB944	1
74/2013	2013-03-02	14	WP281	1
75/2013	2013-03-03	134	KZ596	1
76/2013	2013-03-04	203	JR765	1
77/2013	2013-03-05	351	DK104	1
78/2013	2013-03-06	269	AK485	1
79/2013	2013-03-06	20	HB689	1
80/2013	2013-03-08	5	AK651	1
81/2013	2013-03-09	387	AB514	1
82/2013	2013-03-10	517	MS560	1
83/2013	2013-03-12	530	DJ666	1
84/2013	2013-03-12	195	NN413	1
85/2013	2013-03-13	207	LL084	1
86/2013	2013-03-13	18	JJ613	1
87/2013	2013-03-13	377	MS917	1
88/2013	2013-03-14	120	BM205	1
89/2013	2013-03-15	105	BS596	1
90/2013	2013-03-15	441	ML013	1
91/2013	2013-03-17	265	TR502	1
92/2013	2013-03-18	17	AZ025	1
93/2013	2013-03-19	364	EK143	1
94/2013	2013-03-20	125	JK086	1
95/2013	2013-03-20	507	AN852	1
96/2013	2013-03-20	445	WW713	1
97/2013	2013-03-20	44	KZ596	1
98/2013	2013-03-20	176	BH859	1
99/2013	2013-03-23	99	BM408	1
100/2013	2013-03-26	122	AK935	1
101/2013	2013-03-27	488	AB877	1
102/2013	2013-03-27	265	KT061	1
103/2013	2013-03-27	33	AN941	1
104/2013	2013-03-27	158	KP751	1
105/2013	2013-03-27	443	MM926	1
106/2013	2013-03-27	176	DP689	1
107/2013	2013-03-27	371	KK743	1
108/2013	2013-03-27	358	HL305	1
109/2013	2013-03-27	35	ML454	1
110/2013	2013-03-27	221	KH743	1
111/2013	2013-03-27	281	WP281	1
112/2013	2013-03-27	235	KW801	1
113/2013	2013-03-27	100	AB802	1
114/2013	2013-03-27	321	HB689	1
115/2013	2013-03-27	60	LL879	1
116/2013	2013-03-27	96	MO607	1
117/2013	2013-03-27	458	AG136	1
118/2013	2013-03-28	66	JK901	1
119/2013	2013-03-29	78	MJ980	1
120/2013	2013-03-29	61	MK651	1
121/2013	2013-03-29	289	TC563	1
122/2013	2013-03-29	475	HT909	1
123/2013	2013-03-29	488	RZ166	1
124/2013	2013-03-29	248	BB193	2
125/2013	2013-03-29	385	KW596	1
126/2013	2013-03-29	390	KJ646	2
127/2013	2013-03-29	309	KW670	1
128/2013	2013-03-29	393	TO616	1
129/2013	2013-03-29	90	MK151	1
130/2013	2013-03-29	81	JO931	1
131/2013	2013-03-29	157	HL925	1
132/2013	2013-03-29	190	IK957	1
133/2013	2013-03-29	42	AW703	1
134/2013	2013-03-29	363	OP885	1
135/2013	2013-03-29	336	AB679	1
136/2013	2013-03-29	489	JS561	1
137/2013	2013-03-29	154	JH957	1
138/2013	2013-03-29	332	PM337	1
139/2013	2013-03-29	48	EM686	1
140/2013	2013-03-29	331	BS802	1
141/2013	2013-03-30	332	AB721	1
142/2013	2013-03-31	381	PD759	2
143/2013	2013-03-31	375	NN413	1
144/2013	2013-03-31	517	GL783	1
145/2013	2013-03-31	354	EL635	1
146/2013	2013-04-01	295	FB859	2
147/2013	2013-04-01	386	BM497	1
148/2013	2013-04-01	254	MC265	1
149/2013	2013-04-01	397	SO683	1
150/2013	2013-04-02	365	WL869	1
151/2013	2013-04-03	171	JB243	1
152/2013	2013-04-03	379	CL6	1
153/2013	2013-04-03	471	TW581	1
154/2013	2013-04-03	372	JZ669	1
155/2013	2013-04-03	517	AB514	1
156/2013	2013-04-03	335	MS560	1
157/2013	2013-04-03	42	PG010	1
158/2013	2013-04-03	124	NB013	1
159/2013	2013-04-03	10	PS069	1
160/2013	2013-04-03	233	WR305	1
161/2013	2013-04-04	382	EW677	1
162/2013	2013-04-04	37	JN737	1
163/2013	2013-04-04	114	BO959	1
164/2013	2013-04-04	412	MS545	1
165/2013	2013-04-04	222	HL980	1
166/2013	2013-04-05	495	EK411	1
167/2013	2013-04-06	56	JR765	1
168/2013	2013-04-08	507	BP518	2
169/2013	2013-04-08	59	KZ654	1
170/2013	2013-04-09	103	JK897	1
171/2013	2013-04-10	423	WW133	1
172/2013	2013-04-10	259	AS370	1
173/2013	2013-04-12	503	UW222	1
174/2013	2013-04-13	115	MK912	3
175/2013	2013-04-14	518	UC613	1
176/2013	2013-04-14	404	MB603	1
177/2013	2013-04-14	255	EK855	1
178/2013	2013-04-14	463	IM433	1
179/2013	2013-04-14	323	ES980	1
180/2013	2013-04-14	473	DM646	1
181/2013	2013-04-14	8	PG448	1
182/2013	2013-04-14	6	WM980	1
183/2013	2013-04-14	403	JO585	1
184/2013	2013-04-14	156	JM370	1
185/2013	2013-04-14	228	JJ331	1
186/2013	2013-04-14	77	AB673	1
187/2013	2013-04-15	535	BW305	1
188/2013	2013-04-16	315	HP859	1
189/2013	2013-04-16	442	IO322	1
190/2013	2013-04-16	447	AZ838	1
191/2013	2013-04-16	108	AZ370	1
192/2013	2013-04-16	305	BS596	1
193/2013	2013-04-16	311	ZK088	1
194/2013	2013-04-16	260	JW868	1
195/2013	2013-04-17	156	LW238	1
196/2013	2013-04-18	76	MB630	1
197/2013	2013-04-18	155	MB485	1
198/2013	2013-04-20	343	ED794	1
199/2013	2013-04-20	2	TB293	1
200/2013	2013-04-21	9	BL202	1
201/2013	2013-04-22	458	DK104	1
202/2013	2013-04-22	472	BS343	1
203/2013	2013-04-22	207	RW293	1
204/2013	2013-04-22	228	MW455	1
205/2013	2013-04-22	386	BB759	1
206/2013	2013-04-22	20	TR502	1
207/2013	2013-04-22	307	JJ420	2
208/2013	2013-04-22	51	SS283	1
209/2013	2013-04-22	457	AK689	1
210/2013	2013-04-23	152	JS823	1
211/2013	2013-04-24	102	KK736	1
212/2013	2013-04-25	209	HK463	1
213/2013	2013-04-25	152	DJ666	1
214/2013	2013-04-25	66	SW504	1
215/2013	2013-04-25	441	FS911	1
216/2013	2013-04-25	355	KB248	1
217/2013	2013-04-25	123	EB376	1
218/2013	2013-04-25	215	KP135	1
219/2013	2013-04-25	22	MB909	1
220/2013	2013-04-25	207	AK485	1
221/2013	2013-04-25	89	GL485	1
222/2013	2013-04-26	44	TG008	1
223/2013	2013-04-26	1	SS673	1
224/2013	2013-04-26	517	AS921	1
225/2013	2013-04-26	444	AF446	2
226/2013	2013-04-26	123	KK399	1
227/2013	2013-04-26	174	AS512	1
228/2013	2013-04-26	130	RW437	2
229/2013	2013-04-26	418	MK384	1
230/2013	2013-04-27	26	PM997	1
231/2013	2013-04-27	89	AK436	1
232/2013	2013-04-27	174	WL202	1
233/2013	2013-04-27	219	AF560	1
234/2013	2013-04-27	87	HS605	1
235/2013	2013-04-27	54	KZ630	1
236/2013	2013-04-29	29	CG130	1
237/2013	2013-04-29	94	JZ427	1
238/2013	2013-04-30	202	AK651	1
239/2013	2013-04-30	223	DG587	1
240/2013	2013-04-30	55	AK530	1
241/2013	2013-04-30	146	JF461	1
242/2013	2013-04-30	496	MS901	1
243/2013	2013-04-30	219	TW624	4
244/2013	2013-04-30	164	JB611	1
245/2013	2013-04-30	282	HK046	1
246/2013	2013-04-30	140	LL084	1
247/2013	2013-05-01	359	HS454	1
248/2013	2013-05-02	98	KB202	1
249/2013	2013-05-03	119	FG613	1
250/2013	2013-05-04	11	KK813	1
251/2013	2013-05-04	127	JK253	1
252/2013	2013-05-04	526	JJ613	1
253/2013	2013-05-04	430	JR274	2
254/2013	2013-05-04	172	AB683	1
255/2013	2013-05-04	417	PP802	1
256/2013	2013-05-05	118	JK619	1
257/2013	2013-05-06	23	RW013	1
258/2013	2013-05-06	287	MD631	1
259/2013	2013-05-07	503	JO630	1
260/2013	2013-05-08	380	EK143	1
261/2013	2013-05-09	63	AZ025	1
262/2013	2013-05-09	221	PP548	1
263/2013	2013-05-09	252	PW634	1
264/2013	2013-05-09	377	AL097	1
265/2013	2013-05-09	435	MS917	1
266/2013	2013-05-09	467	PS145	1
267/2013	2013-05-09	352	EK805	1
268/2013	2013-05-09	403	IB428	1
269/2013	2013-05-09	40	AZ877	1
270/2013	2013-05-10	469	FW613	1
